List,Accession,Symbol,Protein Name,Proteomics,No. of peptides,MaxScore,Vasomotricity,BBB-Specific Proteins,Tight Junction and/or Adhesion Proteins,Membrane Transporter and Channel Proteins,ECM and Basal Lamina Proteins,Chun et al.,,
List 1 and 2,P16045,LGALS1,Galectin-1,Both,6,132,,,,,Yes,,,
List 1 and 2,Q3THE2,MYL12B,Myosin regulatory light chain 12B,Both,14,132,Yes,,,,,,,
List 1 and 2,P17225,PTBP1,Polypyrimidine tract-binding protein 1,Both,6,132,,,,,,,,
List 1 and 2,Q9CQV8,YWHAB,14-3-3 protein beta/alpha,Both,13,131,,,,,,,,
List 1 and 2,Q08091,CNN1,Calponin-1,Both,28,131,,,,,,,,
List 1 and 2,Q99KI0,ACO2,"Aconitate hydratase, mitochondrial",Both,31,130,,,,,,,,
List 1 and 2,P68134,ACTA1,"Actin, alpha skeletal muscle",Both,14,130,,,,,,,,
List 1 and 2,Q91YH5,ATL3,Atlastin-3,Both,11,130,,,,,,,,
List 1 and 2,Q9R0P5,DSTN,Destrin,Both,9,130,,Yes,,,,Yes,,
List 1 and 2,P55772,ENTPD1,Ectonucleoside triphosphate diphosphohydrolase 1,Both,4,130,,,,,,,,
List 1 and 2,P06745,GPI,Glucose-6-phosphate isomerase,Both,15,130,,,,,,,,
List 1 and 2,Q64727,VCL,Vinculin,Both,128,130,,,,,,,,
List 1 and 2,Q8QZT1,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial",Both,16,129,,,,,,,,
List 1 and 2,P49312,HNRNPA1,Heterogeneous nuclear ribonucleoprotein A1,Both,6,129,,,,,,,,
List 1 and 2,Q62261,SPTBN1,"Spectrin beta chain, non-erythrocytic 1",Both,59,129,,,,,,,,
List 1 and 2,Q80X90,FLNB,Filamin-B,Both,27,128,,,,,,,,
List 1 and 2,P40124,CAP1,Adenylyl cyclase-associated protein 1,Both,20,127,,,,,,,,
List 1 and 2,P14824,ANXA6,Annexin A6,Both,44,127,,,,,,,,
List 1 and 2,P62204,CALM1,Calmodulin,Both,7,127,Yes,,,,,,,
List 1 and 2,P11276,FN1,Fibronectin,Both,30,127,,,,,Yes,Yes,,
List 1 and 2,Q8CI94,PYGB,"Glycogen phosphorylase, brain form",Both,18,127,,,,,,,,
List 1 and 2,P14733,LMNB1,Lamin-B1,Both,28,127,,,,,,,,
List 1 and 2,Q9EPC1,PARVA,Alpha-parvin,Both,10,126,,,,,,,,
List 1 and 2,P54071,IDH2,"Isocitrate dehydrogenase [NADP], mitochondrial",Both,23,126,,,,,,,,
List 1 and 2,Q921U8,SMTN,Smoothelin,Both,57,126,,,,,,,,
List 1 and 2,Q99JR5,TINAGL1,Tubulointerstitial nephritis antigen-like,Both,28,126,,,,,,,,
List 1 and 2,P68254,YWHAQ,14-3-3 protein theta,Both,12,125,,,,,,,,
List 1 and 2,P10107,ANXA1,Annexin A1,Both,12,125,,,,,,,,
List 1 and 2,Q64523,HIST2H2AC,Histone H2A type 2-C,Both,3,125,,,,,,,,
List 1 and 2,P10853,HIST1H2BF,Histone H2B type 1-F/J/L,Both,11,125,,,,,,,,
List 1 and 2,P62259,YWHAE,14-3-3 protein epsilon,Both,12,123,,,,,,,,
List 1 and 2,P02463,COL4A1,Collagen alpha-1(IV) chain,Both,14,123,,,,,Yes,Yes,,
List 1 and 2,Q8VDD5,MYH9,Myosin-9,Both,52,123,,,,,,,,
List 1 and 2,Q91YT0,NDUFV1,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",Both,3,123,,,,,,,,
List 1 and 2,Q8BG95,PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,Both,12,123,Yes,,,,,,,
List 1 and 2,P52480,PKM2,Pyruvate kinase isozymes M1/M2,Both,35,122,,,,,,,,
List 1 and 2,P17182,ENO1,Alpha-enolase,Both,26,121,,,,,,,,
List 1 and 2,P17742,PPIA,Peptidyl-prolyl cis-trans isomerase A,Both,15,121,,,,,,,,
List 1 and 2,O35074,PTGIS,Prostacyclin synthase,Both,30,121,,,,,,,,
List 1 and 2,P58771,TPM1,Tropomyosin alpha-1 chain,Both,34,121,,,,,,,,
List 1 and 2,Q9DCT8,CRIP2,Cysteine-rich protein 2,Both,6,120,,,,,,,,
List 1 and 2,Q08093,CNN2,Calponin-2,Both,6,119,,,,,,,,
List 1 and 2,Q71FD7,FBLIM1,Filamin-binding LIM protein 1,Both,7,119,,,,,,,,
List 1 and 2,P03995,GFAP,Glial fibrillary acidic protein,Both,41,119,,Yes,,,,Yes,,
List 1 and 2,P10833,RRAS,Ras-related protein R-Ras,Both,9,119,,Yes,,,,Yes,,
List 1 and 2,Q8R429,ATP2A1,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,Both,5,119,Yes,,,Yes,,Yes,,
List 1 and 2,P80313,CCT7,T-complex protein 1 subunit eta,Both,9,119,,,,,,,,
List 1 and 2,Q9R069,BCAM,Basal cell adhesion molecule,Both,32,118,,,,,,,,
List 1 and 2,P08752,GNAI2,Guanine nucleotide-binding protein G(i) subunit alpha-2,Both,7,118,,,,,,,,
List 1 and 2,P39061,COL18A1,Collagen alpha-1(XVIII) chain,Both,21,117,,,,,Yes,,,
List 1 and 2,P97315,CSRP1,Cysteine and glycine-rich protein 1,Both,23,117,,,,,,,,
List 1 and 2,P62991,RPS27A,Polyubiquitin-C,Both,12,117,,,,,,,,
List 1 and 2,Q8BMS1,HADHA,"Trifunctional enzyme subunit alpha, mitochondrial",Both,27,117,,,,,,,,
List 1 and 2,Q9WUA3,PFKP,6-phosphofructokinase type C,Both,7,116,,,,,,,,
List 1 and 2,P48036,ANXA5,Annexin A5,Both,20,116,,,,,,,,
List 1 and 2,P63017,HSPA8,Heat shock cognate 71 kDa protein,Both,38,116,,,,,,,,
List 1 and 2,P10493,NID1,Nidogen-1,Both,47,116,,,,,Yes,Yes,,
List 1 and 2,Q8VDN2,ATP1A1,Sodium/potassium-transporting ATPase subunit alpha-1,Both,15,116,,,,Yes,,Yes,,
List 1 and 2,P16546,SPTAN1,"Spectrin alpha chain, non-erythrocytic 1",Both,71,116,,,,,,,,
List 1 and 2,Q71LX4,TLN2,Talin-2,Both,10,116,,,,,,,,
List 1 and 2,P80317,CCT6A,T-complex protein 1 subunit zeta,Both,7,116,,,,,,,,
List 1 and 2,Q01853,VCP,Transitional endoplasmic reticulum ATPase,Both,24,116,,,,,,,,
List 1 and 2,P20029,HSPA5,78 kDa glucose-regulated protein,Both,34,115,,,,,,,,
List 1 and 2,P31001,DES,Desmin,Both,47,115,,,,,,,,
List 1 and 2,P54116,STOM,Erythrocyte band 7 integral membrane protein,Both,8,115,,,,,,,,
List 1 and 2,Q8VEK3,HNRNPU,Heterogeneous nuclear ribonucleoprotein U,Both,16,115,,,,,,,,
List 1 and 2,P10922,H1F0,Histone H1.0,Both,8,115,,,,,,,,
List 1 and 2,P08249,MDH2,"Malate dehydrogenase, mitochondrial",Both,37,115,,,,,,,,
List 1 and 2,O70423,AOC3,Membrane primary amine oxidase,Both,20,115,,,,,,,,
List 1 and 2,P26041,MSN,Moesin,Both,36,115,,,,,,,,
List 1 and 2,P97807,FH,"Fumarate hydratase, mitochondrial",Both,9,114,,,,,,,,
List 1 and 2,Q60605,MYL6,Myosin light polypeptide 6,Both,19,114,,,,,,,,
List 1 and 2,O70400,PDLIM1,PDZ and LIM domain protein 1,Both,27,114,,,,,,,,
List 1 and 2,Q9CPQ8,ATP5L,"ATP synthase subunit g, mitochondrial",Both,4,113,,,,Yes,,Yes,,
List 1 and 2,P21956,MFGE8,Lactadherin,Both,25,113,,,,,,,,
List 1 and 2,P50544,ACADVL,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",Both,13,113,,,,,,,,
List 1 and 2,O88342,WDR1,WD repeat-containing protein 1,Both,23,113,,,,,,,,
List 1 and 2,Q9CQQ7,ATP5F1,"ATP synthase subunit b, mitochondrial",Both,7,112,,,,Yes,,Yes,,
List 1 and 2,Q61941,NNT,"NAD(P) transhydrogenase, mitochondrial",Both,13,112,,,,,,,,
List 1 and 2,Q9DBR7,PPP1R12A,Protein phosphatase 1 regulatory subunit 12A,Both,22,112,Yes,,,,,,,
List 1 and 2,Q9DB20,ATP5O,"ATP synthase subunit O, mitochondrial",Both,12,111,,,,Yes,,Yes,,
List 1 and 2,P35564,CANX,Calnexin,Both,10,111,,,,,,,,
List 1 and 2,Q8CCK0,H2AFY2,Core histone macro-H2A.2,Both,8,111,,,,,,,,
List 1 and 2,Q9CZ13,UQCRC1,"Cytochrome b-c1 complex subunit 1, mitochondrial",Both,18,111,,,,,,,,
List 1 and 2,Q8BMF4,DLAT,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",Both,9,111,,,,,,,,
List 1 and 2,Q9ET54,PALLD,Palladin,Both,40,111,,,,,,,,
List 1 and 2,Q8CI51,PDLIM5,PDZ and LIM domain protein 5,Both,20,110,,,,,,,,
List 1 and 2,P97384,ANXA11,Annexin A11,Both,8,109,,,,,,,,
List 1 and 2,Q02788,COL6A2,Collagen alpha-2(VI) chain,Both,26,109,,,,,Yes,,,
List 1 and 2,P21619,LMNB2,Lamin-B2,Both,18,109,,,,,,,,
List 1 and 2,O70209,PDLIM3,PDZ and LIM domain protein 3,Both,24,109,,,,,,,,
List 1 and 2,Q63918,SDPR,Serum deprivation-response protein,Both,11,109,,,,,,,,
List 1 and 2,P97449,ANPEP,Aminopeptidase N,Both,11,108,,,,,,,,
List 1 and 2,P17879,HSPA1B,Heat shock 70 kDa protein 1B,Both,6,108,,,,,,,,
List 1 and 2,P62806,HIST1H4A,Histone H4,Both,18,108,,,,,,,,
List 1 and 2,Q8BZF8,PGM5,Phosphoglucomutase-like protein 5,Both,25,108,,,,,,,,
List 1 and 2,O55143,ATP2A2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,Both,23,108,Yes,,,Yes,,Yes,,
List 1 and 2,P47738,ALDH2,"Aldehyde dehydrogenase, mitochondrial",Both,30,107,,,,,,,,
List 1 and 2,P50608,FMOD,Fibromodulin,Both,9,107,,,,,Yes,,,
List 1 and 2,P09055,ITGB1,Integrin beta-1,Both,31,107,,,Yes,,,Yes,,
List 1 and 2,P97927,LAMA4,Laminin subunit alpha-4,Both,14,107,,,,,Yes,Yes,,
List 1 and 2,Q62219,TGFB1I1,Transforming growth factor beta-1-induced transcript 1 protein,Both,12,107,,,,,,,,
List 1 and 2,Q64433,HSPE1,"10 kDa heat shock protein, mitochondrial",Both,6,106,,,,,,,,
List 1 and 2,Q68FD5,CLTC,Clathrin heavy chain 1,Both,33,106,,,,,,,,
List 1 and 2,P00405,MTCO2,Cytochrome c oxidase subunit 2,Both,4,106,,,,,,,,
List 1 and 2,Q3TZZ7,ESYT2,Extended synaptotagmin-2,Both,13,106,,,,,,,,
List 1 and 2,Q9WVH9,FBLN5,Fibulin-5,Both,21,106,,,,,,,,
List 1 and 2,P61979,HNRNPK,Heterogeneous nuclear ribonucleoprotein K,Both,18,106,,,,,,,,
List 1 and 2,P29758,OAT,"Ornithine aminotransferase, mitochondrial",Both,13,106,,,,,,,,
List 1 and 2,P35278,RAB5C,Ras-related protein Rab-5C,Both,7,106,,,,,,,,
List 1 and 2,O55022,PGRMC1,Membrane-associated progesterone receptor component 1,Both,11,105,,,,,,,,
List 1 and 2,Q9CR62,SLC25A11,Mitochondrial 2-oxoglutarate/malate carrier protein,Both,6,105,,,,Yes,,Yes,,
List 1 and 2,Q91V61,SFXN3,Sideroflexin-3,Both,11,105,,,,,,,,
List 1 and 2,P68368,TUBA4A,Tubulin alpha-4A chain,Both,4,105,,,,,,,,
List 1 and 2,Q8BWT1,ACAA2,"3-ketoacyl-CoA thiolase, mitochondrial",Both,22,104,,,,,,,,
List 1 and 2,P07356,ANXA2,Annexin A2,Both,35,104,,,,,Yes,Yes,,
List 1 and 2,Q99LC5,ETFA,"Electron transfer flavoprotein subunit alpha, mitochondrial",Both,16,104,,,,,,,,
List 1 and 2,P19157,GSTP1,Glutathione S-transferase P 1,Both,7,104,,,,,,,,
List 1 and 2,P09405,NCL,Nucleolin,Both,9,104,,,,,,,,
List 1 and 2,Q9D051,PDHB,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",Both,11,104,,,,,,,,
List 1 and 2,P62137,PPP1CA,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,Both,2,104,Yes,,,,,,,
List 1 and 2,P37804,TAGLN,Transgelin,Both,38,104,,,,,,,,
List 1 and 2,P63024,VAMP3,Vesicle-associated membrane protein 3,Both,5,104,,,,,,,,
List 1 and 2,Q61490,ALCAM,CD166 antigen,Both,13,103,,Yes,Yes,,,Yes,,
List 1 and 2,P07901,HSP90AA1,Heat shock protein HSP 90-alpha,Both,12,103,,,,,,,,
List 1 and 2,Q9JKS4,LDB3,LIM domain-binding protein 3,Both,25,103,,,,,,,,
List 1 and 2,P14206,RPSA,40S ribosomal protein SA,Both,6,102,,,,,,,,
List 1 and 2,P97314,CSRP2,Cysteine and glycine-rich protein 2,Both,17,102,,,,,,,,
List 1 and 2,O88487,DYNC1I2,Cytoplasmic dynein 1 intermediate chain 2,Both,7,102,,,,,,,,
List 1 and 2,O35098,DPYSL4,Dihydropyrimidinase-related protein 4,Both,2,102,,,,,,,,
List 1 and 2,P51174,ACADL,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",Both,22,102,,,,,,,,
List 1 and 2,Q91VD9,NDUFS1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",Both,22,102,,,,,,,,
List 1 and 2,Q62417,SORBS1,Sorbin and SH3 domain-containing protein 1,Both,18,102,,,,,,,,
List 1 and 2,Q9DB77,UQCRC2,"Cytochrome b-c1 complex subunit 2, mitochondrial",Both,27,101,,,,,,,,
List 1 and 2,Q8BFR5,TUFM,"Elongation factor Tu, mitochondrial",Both,13,101,,,,,,,,
List 1 and 2,P60843,EIF4A1,Eukaryotic initiation factor 4A-I,Both,4,101,,,,,,,,
List 1 and 2,Q9Z2X1,HNRNPF,Heterogeneous nuclear ribonucleoprotein F,Both,5,101,,,,,,,,
List 1 and 2,P06151,LDHA,L-lactate dehydrogenase A chain,Both,8,101,,,,,,,,
List 1 and 2,Q9EQ20,ALDH6A1,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",Both,11,101,,,,,,,,
List 1 and 2,Q64436,ATP4A,Potassium-transporting ATPase alpha chain 1,Both,4,101,,,,Yes,,Yes,,
List 1 and 2,P42208,Sept2,Septin-2,Both,11,101,,,,,,,,
List 1 and 2,P61982,YWHAG,14-3-3 protein gamma,Both,11,100,,,,,,,,
List 1 and 2,P62908,RPS3,40S ribosomal protein S3,Both,10,100,,,,,,,,
List 1 and 2,P35979,RPL12,60S ribosomal protein L12,Both,7,100,,,,,,,,
List 1 and 2,P61205,ARF3,ADP-ribosylation factor 3,Both,3,100,,,,,,,,
List 1 and 2,P05202,GOT2,"Aspartate aminotransferase, mitochondrial",Both,21,100,,,,,,,,
List 1 and 2,P08074,CBR2,Carbonyl reductase [NADPH] 2,Both,10,100,,,,,,,,
List 1 and 2,O88492,PLIN4,Perilipin-4,Both,15,100,,,,,,,,
List 1 and 2,P42669,PURA,Transcriptional activator protein Pur-alpha,Both,6,100,,,,,,,,
List 1 and 2,Q9WTI7,MYO1C,Unconventional myosin-Ic,Both,30,100,,,,,,,,
List 1 and 2,P51881,SLC25A5,ADP/ATP translocase 2,Both,17,99,,,,Yes,,Yes,,
List 1 and 2,Q9D8N0,EEF1G,Elongation factor 1-gamma,Both,6,99,,,,,,,,
List 1 and 2,P15864,HIST1H1C,Histone H1.2,Both,11,99,,,,,,,,
List 1 and 2,Q8BFW7,LPP,Lipoma-preferred partner homolog,Both,19,99,,,,,,,,
List 1 and 2,Q9DCN2,CYB5R3,NADH-cytochrome b5 reductase 3,Both,15,99,,,,,,,,
List 1 and 2,P15331,PRPH,Peripherin,Both,4,99,,,,,,,,
List 1 and 2,Q61171,PRDX2,Peroxiredoxin-2,Both,9,99,,,,,,,,
List 1 and 2,P11983,TCP1,T-complex protein 1 subunit alpha,Both,7,99,,,,,,,,
List 1 and 2,Q8R2Y2,MCAM,Cell surface glycoprotein MUC18,Both,14,98,,,Yes,,,Yes,,
List 1 and 2,Q60930,VDAC2,Voltage-dependent anion-selective channel protein 2,Both,11,98,,,,,,,,
List 1 and 2,Q64133,MAOA,Amine oxidase [flavin-containing] A,Both,6,97,Yes,,,,,,,
List 1 and 2,P08122,COL4A2,Collagen alpha-2(IV) chain,Both,12,97,,,,,Yes,Yes,,
List 1 and 2,P16381,D1PAS1,Putative ATP-dependent RNA helicase Pl10,Both,11,97,,,,,,,,
List 1 and 2,O35295,PURB,Transcriptional activator protein Pur-beta,Both,5,97,,,,,,,,
List 1 and 2,P58774,TPM2,Tropomyosin beta chain,Both,30,97,,,,,,,,
List 1 and 2,Q922F4,TUBB6,Tubulin beta-6 chain,Both,7,97,,,,,,,,
List 1 and 2,P14152,MDH1,"Malate dehydrogenase, cytoplasmic",Both,9,96,,,,,,,,
List 1 and 2,Q8CAQ8,IMMT,Mitochondrial inner membrane protein,Both,23,96,,,,,,,,
List 1 and 2,P53994,RAB2A,Ras-related protein Rab-2A,Both,5,96,,,,,,,,
List 1 and 2,Q8K2B3,SDHA,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",Both,20,96,,,,,,,,
List 1 and 2,Q02053,UBA1,Ubiquitin-like modifier-activating enzyme 1,Both,9,96,,,,,,,,
List 1 and 2,Q9DBG6,RPN2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,Both,8,95,,,,,,,,
List 1 and 2,P10649,GSTM1,Glutathione S-transferase Mu 1,Both,7,95,,,,,,,,
List 1 and 2,Q61937,NPM1,Nucleophosmin,Both,8,95,,,,,,,,
List 1 and 2,Q99KD5,UNC45A,Protein unc-45 homolog A,Both,5,95,,,,,,,,
List 1 and 2,P62835,RAP1A,Ras-related protein Rap-1A,Both,9,95,,,,,,,,
List 1 and 2,Q3URD3,SLMAP,Sarcolemmal membrane-associated protein,Both,24,95,,,,,,,,
List 1 and 2,P97370,ATP1B3,Sodium/potassium-transporting ATPase subunit beta-3,Both,7,95,,,,Yes,,Yes,,
List 1 and 2,Q70IV5,SYNM,Synemin,Both,13,95,,,,,,,,
List 1 and 2,P47911,RPL6,60S ribosomal protein L6,Both,7,94,,,,,,,,
List 1 and 2,Q9JI91,ACTN2,Alpha-actinin-2,Both,9,94,,,,,,,,
List 1 and 2,P97429,ANXA4,Annexin A4,Both,14,94,,,,,,,,
List 1 and 2,Q9WUM4,CORO1C,Coronin-1C,Both,18,94,,,,,,,,
List 1 and 2,O08553,DPYSL2,Dihydropyrimidinase-related protein 2,Both,13,94,,,,,,,,
List 1 and 2,P08113,HSP90B1,Endoplasmin,Both,29,94,,,,,,,,
List 1 and 2,P42125,DCI,"Enoyl-CoA delta isomerase 1, mitochondrial",Both,6,94,,,,,,,,
List 1 and 2,P05063,ALDOC,Fructose-bisphosphate aldolase C,Both,3,94,,,,,,,,
List 1 and 2,O09114,PTGDS,Prostaglandin-H2 D-isomerase,Both,6,94,,,,,,,,
List 1 and 2,Q9JKF1,IQGAP1,Ras GTPase-activating-like protein IQGAP1,Both,11,94,,,,,,,,
List 1 and 2,Q62465,VAT1,Synaptic vesicle membrane protein VAT-1 homolog,Both,11,94,,,,,,,,
List 1 and 2,Q99JY0,HADHB,"Trifunctional enzyme subunit beta, mitochondrial",Both,18,94,,,,,,,,
List 1 and 2,P99027,RPLP2,60S acidic ribosomal protein P2,Both,4,93,,,,,,,,
List 1 and 2,Q9CZU6,CS,"Citrate synthase, mitochondrial",Both,17,93,,,,,,,,
List 1 and 2,P28654,DCN,Decorin,Both,9,93,,,,,Yes,,,
List 1 and 2,Q8CIB5,FERMT2,Fermitin family homolog 2,Both,20,93,,,,,,,,
List 1 and 2,Q9Z0F7,SNCG,Gamma-synuclein,Both,6,93,,,,,,,,
List 1 and 2,Q99020,HNRNPAB,Heterogeneous nuclear ribonucleoprotein A/B,Both,7,93,,,,,,,,
List 1 and 2,Q9JK53,PRELP,Prolargin,Both,18,93,,,,,Yes,,,
List 1 and 2,Q922R8,PDIA6,Protein disulfide-isomerase A6,Both,6,93,,,,,,,,
List 1 and 2,Q8C522,ENDOD1,Endonuclease domain-containing 1 protein,Both,5,92,,,,,,,,
List 1 and 2,Q64522,HIST2H2AB,Histone H2A type 2-B,Both,4,92,,,,,,,,
List 1 and 2,P62962,PFN1,Profilin-1,Both,9,92,,,,,,,,
List 1 and 2,Q3UMT1,PPP1R12C,Protein phosphatase 1 regulatory subunit 12C,Both,12,92,Yes,,,,,,,
List 1 and 2,P62821,RAB1A,Ras-related protein Rab-1A,Both,6,92,,,,,,,,
List 1 and 2,Q76MZ3,PPP2R1A,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,Both,9,92,,,,,,,,
List 1 and 2,P38647,HSPA9,"Stress-70 protein, mitochondrial",Both,24,92,,,,,,,,
List 1 and 2,P21107,TPM3,Tropomyosin alpha-3 chain,Both,12,92,,,,,,,,
List 1 and 2,Q6IRU2,TPM4,Tropomyosin alpha-4 chain,Both,9,92,,,,,,,,
List 1 and 2,Q78IK2,USMG5,Up-regulated during skeletal muscle growth protein 5,Both,3,92,,,,,,,,
List 1 and 2,Q8BFZ3,ACTBL2,Beta-actin-like protein 2,Both,10,91,,,,,,,,
List 1 and 2,P28653,BGN,Biglycan,Both,20,91,,,,,Yes,,,
List 1 and 2,P13020,GSN,Gelsolin,Both,23,91,,,,,,,,
List 1 and 2,Q61097,KSR1,Kinase suppressor of Ras 1,Both,5,91,,,,,,,,
List 1 and 2,Q3UTJ2,SORBS2,Sorbin and SH3 domain-containing protein 2,Both,73,91,,,,,,,,
List 1 and 2,Q9EQP2,EHD4,EH domain-containing protein 4,Both,21,90,,,,,,,,
List 1 and 2,P17156,HSPA2,Heat shock-related 70 kDa protein 2,Both,17,90,,,,,,,,
List 1 and 2,Q99MN9,PCCB,"Propionyl-CoA carboxylase beta chain, mitochondrial",Both,12,90,,,,,,,,
List 1 and 2,Q9Z2I9,SUCLA2,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial",Both,11,90,,,,,,,,
List 1 and 2,P97427,CRMP1,Dihydropyrimidinase-related protein 1,Both,2,89,,,,,,,,
List 1 and 2,Q9D2N4,DTNA,Dystrobrevin alpha,Both,5,89,,,,,,,,
List 1 and 2,P62631,EEF1A2,Elongation factor 1-alpha 2,Both,6,89,,,,,,,,
List 1 and 2,Q62470,ITGA3,Integrin alpha-3,Both,3,89,,,Yes,,,Yes,,
List 1 and 2,Q9D6R2,IDH3A,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",Both,10,89,,,,,,,,
List 1 and 2,Q62523,ZYX,Zyxin,Both,14,89,,,,,,,,
List 1 and 2,P62754,RPS6,40S ribosomal protein S6,Both,2,88,,,,,,,,
List 1 and 2,Q9DAW9,CNN3,Calponin-3,Both,12,88,,,,,,,,
List 1 and 2,Q9D855,UQCRB,Cytochrome b-c1 complex subunit 7,Both,3,88,,,,,,,,
List 1 and 2,P19783,COX4I1,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",Both,6,88,,,,,,,,
